constructorStandingsId,raceId,constructorId,points,position,positionText,wins
5972,140,3,92.0,2,2,1
5971,140,6,221.0,1,1,15
5616,141,15,4.0,3,3,0
5615,141,1,6.0,2,2,0
5614,141,6,14.0,1,1,1
5634,142,3,2.0,5,5,0
5626,142,15,4.0,4,4,0
5625,142,1,11.0,2,2,0
5624,142,6,30.0,1,1,2
5645,143,3,2.0,6,6,0
5637,143,15,8.0,3,3,0
5636,143,1,21.0,2,2,1
5635,143,6,36.0,1,1,2
5656,144,3,12.0,3,3,1
5648,144,15,8.0,5,5,0
5647,144,1,30.0,2,2,1
5646,144,6,40.0,1,1,2
5667,145,3,18.0,3,3,1
5659,145,15,9.0,5,5,0
5658,145,1,32.0,2,2,1
5657,145,6,50.0,1,1,3
5678,146,3,18.0,3,3,1
5670,146,15,12.0,5,5,0
5669,146,1,42.0,2,2,2
5668,146,6,60.0,1,1,3
5689,147,3,18.0,3,3,1
5681,147,15,12.0,6,6,0
5680,147,1,44.0,2,2,2
5679,147,6,76.0,1,1,4
5700,148,3,28.0,3,3,2
5692,148,15,15.0,4,4,0
5691,148,1,48.0,2,2,2
5690,148,6,82.0,1,1,4
5711,149,3,37.0,3,3,2
5703,149,15,15.0,4,4,0
5702,149,1,53.0,2,2,2
5701,149,6,94.0,1,1,5
5722,150,3,43.0,3,3,2
5714,150,15,16.0,4,4,0
5713,150,1,56.0,2,2,2
5712,150,6,108.0,1,1,6
5733,151,3,46.0,3,3,2
5725,151,15,19.0,4,4,0
5724,151,1,66.0,2,2,3
5723,151,6,118.0,1,1,6
5744,152,3,56.0,3,3,3
5736,152,15,19.0,4,4,0
5735,152,1,66.0,2,2,3
5734,152,6,124.0,1,1,6
5755,153,3,59.0,3,3,3
5747,153,15,20.0,4,4,0
5746,153,1,72.0,2,2,3
5745,153,6,140.0,1,1,7
5766,154,3,59.0,3,3,3
5758,154,15,20.0,4,4,0
5757,154,1,81.0,2,2,3
5756,154,6,152.0,1,1,8
5777,155,3,73.0,3,3,4
5769,155,15,20.0,4,4,0
5768,155,1,81.0,2,2,3
5767,155,6,161.0,1,1,8
5788,156,3,73.0,3,3,4
5780,156,15,21.0,4,4,0
5779,156,1,95.0,2,2,4
5778,156,6,167.0,1,1,8
5799,157,3,80.0,3,3,4
5791,157,15,21.0,4,4,0
5790,157,1,102.0,2,2,4
5789,157,6,179.0,1,1,9
1454,158,6,16.0,1,1,1
1455,158,3,4.0,2,2,0
1460,159,6,26.0,1,1,2
1461,159,3,7.0,4,4,0
1468,160,6,39.0,1,1,3
1469,160,3,7.0,5,5,0
1476,160,1,10.0,2,2,0
1477,160,15,1.0,7,7,0
1479,161,6,43.0,1,1,3
1480,161,3,12.0,3,3,0
1487,161,1,26.0,2,2,1
1488,161,15,1.0,7,7,0
1490,162,6,49.0,1,1,3
1491,162,3,15.0,3,3,0
1498,162,1,42.0,2,2,2
1499,162,15,1.0,7,7,0
1501,163,6,62.0,1,1,4
1502,163,3,15.0,3,3,0
1509,163,1,52.0,2,2,2
1510,163,15,1.0,7,7,0
1512,164,6,68.0,1,1,4
1513,164,3,15.0,3,3,0
1520,164,1,63.0,2,2,3
1521,164,15,3.0,8,8,0
1523,165,6,84.0,1,1,5
1524,165,3,15.0,4,4,0
1531,165,1,66.0,2,2,3
1532,165,15,3.0,8,8,0
1534,166,6,88.0,1,1,5
1535,166,3,17.0,4,4,0
1542,166,1,82.0,2,2,4
1543,166,15,3.0,8,8,0
1545,167,6,92.0,2,2,5
1546,167,3,19.0,3,3,0
1553,167,1,98.0,1,1,5
1554,167,15,4.0,7,7,0
1556,168,6,102.0,2,2,6
1557,168,3,22.0,3,3,0
1564,168,1,108.0,1,1,5
1565,168,15,6.0,7,7,0
1567,169,6,111.0,2,2,6
1568,169,3,24.0,3,3,0
1575,169,1,122.0,1,1,6
1576,169,15,6.0,7,7,0
1578,170,6,117.0,2,2,6
1579,170,3,30.0,3,3,0
1586,170,1,135.0,1,1,7
1587,170,15,6.0,7,7,0
1589,171,6,127.0,2,2,7
1590,171,3,34.0,3,3,0
1597,171,1,141.0,1,1,7
1598,171,15,6.0,8,8,0
1600,172,6,143.0,1,1,8
1601,172,3,34.0,3,3,0
1608,172,1,143.0,2,2,7
1609,172,15,6.0,8,8,0
1611,173,6,156.0,1,1,9
1612,173,3,36.0,3,3,0
1619,173,1,153.0,2,2,7
1620,173,15,6.0,8,8,0
1622,174,6,170.0,1,1,10
1623,174,3,36.0,3,3,0
1630,174,1,162.0,2,2,7
1631,174,15,6.0,8,8,0
5447,175,3,4.0,3,3,0
5445,175,6,10.0,1,1,1
5457,176,1,10.0,2,2,1
5453,176,3,7.0,4,4,0
5469,177,15,1.0,9,9,0
5466,177,1,16.0,2,2,1
5462,177,3,7.0,4,4,0
5460,177,6,28.0,1,1,2
5451,176,6,18.0,1,1,1
5480,178,15,1.0,9,9,0
5477,178,1,20.0,2,2,1
5473,178,3,7.0,5,5,0
5471,178,6,44.0,1,1,3
5491,179,15,1.0,9,9,0
5488,179,1,36.0,2,2,2
5484,179,3,9.0,4,4,0
5482,179,6,51.0,1,1,3
5502,180,15,2.0,8,8,0
5499,180,1,46.0,2,2,3
5495,180,3,12.0,5,5,0
5493,180,6,55.0,1,1,3
5513,181,15,2.0,8,8,0
5510,181,1,52.0,2,2,3
5506,181,3,15.0,4,4,0
5504,181,6,58.0,1,1,3
5524,182,15,3.0,7,7,0
5521,182,1,62.0,2,2,4
5517,182,3,19.0,4,4,0
5515,182,6,64.0,1,1,3
5535,183,15,4.0,7,7,0
5532,183,1,72.0,2,2,4
5528,183,3,19.0,4,4,0
5526,183,6,74.0,1,1,4
5546,184,15,4.0,7,7,0
5543,184,1,74.0,2,2,4
5539,184,3,22.0,4,4,0
5537,184,6,90.0,1,1,5
5557,185,15,4.0,7,7,0
5554,185,1,90.0,2,2,5
5550,185,3,22.0,4,4,0
